Material,Type,Lateral load resisting  system,Height,Irregularities,Ductility,Type of block,Type of concrete
Concrete,Unreinforced,Wall,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Regular,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Regular,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Regular,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Low rise (<3 floors),Unknown,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Low rise (<3 floors),Unknown,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Low rise (<3 floors),Unknown,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Regular,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Regular,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Regular,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-,Pre-cast
