Material,Type,Lateral load resisting  system,Height,Irregularities,Ductility,Type of block,Type of concrete
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Unknown,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Unknown,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Mid rise (4-6 floors),Unknown,Unknown,-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Regular,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Regular,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Regular,Unknown,-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Unknown,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Unknown,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,High-rise (7-12 floors),Unknown,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Regular,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Regular,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Regular,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Tall (>12 floors),Unknown,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Tall (>12 floors),Unknown,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Tall (>12 floors),Unknown,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Unknown,Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Unknown,Regular,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Regular,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Regular,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Unknown,Irregular-soft storey,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Irregular-soft storey,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Unknown,Irregular-torsion,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Irregular-torsion,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Irregular-torsion,Unknown,-,Unknown
Concrete,Unreinforced,Wall,Unknown,Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Unreinforced,Wall,Unknown,Unknown,Unknown,-,Cast in place
Concrete,Unreinforced,Wall,Unknown,Unknown,Unknown,-,Pre-cast
Concrete,Unreinforced,Wall,Unknown,Unknown,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Regular,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Low rise (<3 floors),Unknown,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Regular,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,Mid rise (4-6 floors),Unknown,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Regular,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Unknown,-,Cast in place
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Unknown,-,Pre-cast
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Irregular-torsion,Unknown,-,Unknown
Concrete,Reinforced,Moment frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),-,Cast in place
